,1 system,,2 systems,,5 systems,,10 systems,,14 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++,PERL,C++,PERL,C++
SP,"48,97","60,04","76,61","98,59","173,38","185,13","361,35","367,55","402,92","467,79"
SR,"4045,88","2670,64","4375,74","3709,35","4842,51","4898,22","10239,73","7677,59","8606,65","8847,41"
CE,"44,39","36,66","52,90","51,66","101,97","80,51","208,52","145,90","229,26","201,16"
ESA,"27,21","25,68","43,26","57,59","116,22","122,83","244,61","257,18","316,64","363,27"
GTM,"2,78","2,17","4,06","4,49","10,40","10,59","26,54","18,30","43,67","24,92"
LEM,"0,92","1,18","1,40","2,33","3,62","5,23","9,40","8,45","17,15","10,27"
METEOR,"28,75","21,78","39,85","46,66","107,77","112,68","293,29","221,10","369,58","318,88"
NE,"2,95","1,66","6,12","3,85","14,08","9,08","31,14","18,68","61,91","18,71"
NGRAM,"18,06","13,78","29,41","29,85","75,49","74,61","164,02","138,74","243,92","200,94"
O,"0,48","0,81","1,10","1,67","2,39","3,44","5,14","6,45","6,54","6,68"
PER,"0,17","0,57","0,34","1,11","0,79","2,69","1,64","5,28","2,88","6,62"
ROUGE,"19,10","28,95","43,94","55,81","86,78","128,28","182,88","263,23","384,20","282,45"
TER,"247,54","249,82","430,54","524,79","1086,27","1050,37","2442,56","2702,97","3223,96","3243,79"
WER,"1,65","2,34","3,30","4,68","8,46","10,56","19,20","18,00","27,87","30,36"
