,1 system,,3 systems,,5 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++
SP,"15,15","16,04","33,38","35,87","62,15","57,25"
SR,"62,98","64,79","134,18","140,78","209,30","216,19"
CE,"21,32","21,53","41,57","41,23","69,64","61,95"
ESA,"3,03","4,28","8,18","9,42","13,68","16,45"
GTM,"0,56","1,20","1,71","3,16","2,91","5,26"
LEM,"0,43","0,96","1,36","2,50","3,49","3,99"
METEOR,"15,90","17,87","47,87","49,03","82,02","83,52"
NE,"0,31","0,74","0,96","2,01","3,04","3,52"
NGRAM,"3,35","4,27","10,05","10,98","18,11","19,78"
O,"0,00","0,12","0,01","0,33","0,02","0,55"
PER,"0,07","0,30","0,19","0,87","0,62","1,43"
ROUGE,"1,01","2,18","3,03","6,44","9,64","10,77"
TER,"40,38","60,07","123,09","140,05","224,39","285,71"
WER,"0,20","0,44","0,61","1,28","1,94","2,17"
