Metrics,1,2,4,8,16,32
SP,"79,27","62,80","55,84","52,04","53,53","56,65"
SR,"3328,13","1705,20","899,87","456,79","266,69","162,92"
CE,"61,04","48,41","41,45","36,49","34,67","37,69"
ESA,"25,17","13,45","8,63","6,37","4,88","4,07"
GTM,"2,17","2,29","1,94","1,95","1,95","2,38"
LEM,"1,66","1,31","1,35","1,49","1,70","2,11"
METEOR,"23,21","20,17","19,09","18,36","17,75","17,58"
NE,"6,87","3,67","2,51","2,55","3,17","3,31"
NGRAM,"35,77","15,03","10,03","7,73","6,27","5,95"
O,"162,67","17,22","3,10","1,49","2,53","4,34"
PER,"0,78","0,69","0,72","0,80","1,00","1,43"
ROUGE,"29,20","17,27","8,39","5,50","3,44","2,91"
TER,"216,40","215,00","98,11","76,68","56,35","39,26"
WER,"2,28","1,68","1,37","1,15","1,26","1,62"
