Metrics,1,2,4,8,16,32
SP,"297,15","286,76","286,15","297,59","325,92","387,67"
SR,"3618,04","1747,80","942,09","515,88","285,11","200,77"
CE,"2,32","35,08","2,06","2,68","3,00","7,54"
ESA,"38,34","14,14","9,49","7,10","7,64","9,30"
GTM,"3,25","2,92","2,60","3,13","4,10","5,76"
LEM,"2,97","2,64","2,21","2,61","4,36","8,30"
METEOR,"23,17","20,26","24,16","22,59","22,60","27,02"
NE,"2,46","2,84","5,31","3,93","6,58","14,81"
NGRAM,"37,35","12,62","6,14","8,16","9,65","13,68"
O,"61,66","23,22","18,68","24,22","13,48","24,70"
PER,"1,59","0,44","1,74","2,35","3,84","7,24"
ROUGE,"29,81","20,40","10,13","7,10","7,54","9,47"
TER,"446,68","306,77","213,44","135,22","84,48","57,91"
WER,"3,02","2,27","2,26","2,67","4,03","5,74"
