Asiya-1.config

METRIC,1,2,4,8,16,32
SP, , , , , , 
SR, , , , , , 
CE, , , , , , 
ESA, 6.512755, 4.883983, 3.612617, , , 
GTM, 1.125363, 1.149176, 1.073971, , , 
LEM, 0.841954, 0.832731, 0.822913, , , 
METEOR, , , , , , 
NE, , , , , , 
NGRAM, , , , , , 
O, , , , , , 
PER, , , , , , 
ROUGE, 6.466831, 3.620904, 2.199628, , , 
TER, , , , , , 
WER, , , , , , 


Asiya-2.config

METRIC,1,2,4,8,16,32
SP, , , , , , 
SR, , , , , , 
CE, , , , , , 
ESA, 6.576044, 4.720096, 3.552016, , , 
GTM, 1.217627, 1.256893, 1.019874, , , 
LEM, 0.884542, 1.024346, 0.879568, , , 
METEOR, , , , , , 
NE, , , , , , 
NGRAM, , , , , , 
O, , , , , , 
PER, , , , , , 
ROUGE, 6.371232, 3.693996, 2.289409, , , 
TER, , , , , , 
WER, , , , , , 


Asiya-5.config

METRIC,1,2,4,8,16,32
SP, , , , , , 
SR, , , , , , 
CE, , , , , , 
ESA, , , , , , 
GTM, , , , , , 
LEM, , , , , , 
METEOR, , , , , , 
NE, , , , , , 
NGRAM, , , , , , 
O, , , , , , 
PER, , , , , , 
ROUGE, , , , , , 
TER, , , , , , 
WER, , , , , , 


Asiya-10.config

METRIC,1,2,4,8,16,32
SP, , , , , , 
SR, , , , , , 
CE, , , , , , 
ESA, , , , , , 
GTM, , , , , , 
LEM, , , , , , 
METEOR, , , , , , 
NE, , , , , , 
NGRAM, , , , , , 
O, , , , , , 
PER, , , , , , 
ROUGE, , , , , , 
TER, , , , , , 
WER, , , , , , 


Asiya-all.config

METRIC,1,2,4,8,16,32
SP, , , , , , 
SR, , , , , , 
CE, , , , , , 
ESA, , , , , , 
GTM, , , , , , 
LEM, , , , , , 
METEOR, , , , , , 
NE, , , , , , 
NGRAM, , , , , , 
O, , , , , , 
PER, , , , , , 
ROUGE, , , , , , 
TER, , , , , , 
WER, , , , , , 

